Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_256x256x64_0x0x1_0_nnn_align8_2sm_epi_tma,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,256,256,64,2,1,1,2,1,1,4,4,1,1,256,256,16,100,110,6375342080,1924413784064,301,1.67664,3541.31,1.14778e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_256x256x64_0x0x1_0_nnn_align8_stream_k_2sm_epi_tma,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,256,256,64,2,1,1,2,1,1,4,4,1,1,256,256,16,100,110,6375342080,1924413784064,301,1.66866,3558.24,1.15327e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_256x256x64_2x1x1_0_nnn_align8_2sm_epi_tma,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,256,256,64,2,1,1,2,1,1,4,4,1,1,256,256,16,100,110,6375342080,1924413784064,301,1.67706,3540.42,1.14749e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_256x256x64_2x1x1_0_nnn_align8_stream_k_2sm_epi_tma,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,256,256,64,2,1,1,2,1,1,4,4,1,1,256,256,16,100,110,6375342080,1924413784064,301,1.67697,3540.62,1.14756e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_256x256x64_2x2x1_0_nnn_align8_2sm_epi_tma,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,256,256,64,2,2,1,2,1,1,4,4,1,1,256,256,16,100,110,6375342080,1924413784064,301,2.23152,2660.75,862380
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_256x256x64_2x2x1_0_nnn_align8_stream_k_2sm_epi_tma,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,256,256,64,2,2,1,2,1,1,4,4,1,1,256,256,16,100,110,6375342080,1924413784064,301,2.22678,2666.4,864212
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_256x256x64_4x1x1_0_nnn_align8_2sm_epi_tma,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,256,256,64,4,1,1,2,1,1,4,4,1,1,256,256,16,100,110,6375342080,1924413784064,301,1.68684,3519.9,1.14084e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_256x256x64_4x1x1_0_nnn_align8_stream_k_2sm_epi_tma,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,256,256,64,4,1,1,2,1,1,4,4,1,1,256,256,16,100,110,6375342080,1924413784064,301,1.69096,3511.33,1.13806e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_256x256x64_2x4x1_0_nnn_align8_2sm_epi_tma,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,256,256,64,2,4,1,2,1,1,4,4,1,1,256,256,16,100,110,6375342080,1924413784064,301,4.16438,1425.78,462113
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_256x256x64_2x4x1_0_nnn_align8_stream_k_2sm_epi_tma,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,256,256,64,2,4,1,2,1,1,4,4,1,1,256,256,16,100,110,6375342080,1924413784064,301,4.20571,1411.77,457572
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_256x256x64_4x2x1_0_nnn_align8_2sm_epi_tma,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,256,256,64,4,2,1,2,1,1,4,4,1,1,256,256,16,100,110,6375342080,1924413784064,301,2.58698,2295.15,743885
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_256x256x64_4x2x1_0_nnn_align8_stream_k_2sm_epi_tma,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,256,256,64,4,2,1,2,1,1,4,4,1,1,256,256,16,100,110,6375342080,1924413784064,301,2.58655,2295.53,744009
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_256x256x64_4x4x1_0_nnn_align8_2sm_epi_tma,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,256,256,64,4,4,1,2,1,1,4,4,1,1,256,256,16,100,110,6375342080,1924413784064,301,4.26914,1390.79,450773
