Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0688707,5451.19,23389.8
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0703526,5336.36,22897.1
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_ttt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0696874,5387.31,23115.7
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_0x0x1_0_ttt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.069728,5384.17,23102.3
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0708749,5297.04,22728.4
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0711443,5276.98,22642.4
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_ttt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0707318,5307.75,22774.4
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x1x1_0_ttt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,1,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0700662,5358.18,22990.7
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x2x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,1,2,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0686019,5472.55,23481.5
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x2x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,1,2,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0686323,5470.12,23471.1
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x2x1_0_ttt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,1,2,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0673222,5576.57,23927.8
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x2x1_0_ttt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,1,2,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.067271,5580.82,23946
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_2x1x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,2,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0892662,4205.7,18045.7
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_2x1x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,2,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0929011,4041.15,17339.7
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_2x1x1_0_ttt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,2,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0887539,4229.98,18149.9
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_2x1x1_0_ttt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,2,1,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0902288,4160.84,17853.2
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x4x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,1,4,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0676496,5549.59,23812
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x4x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,1,4,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0676493,5549.61,23812.2
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x4x1_0_ttt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,1,4,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.064785,5794.98,24865
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_1x4x1_0_ttt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,1,4,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.0648131,5792.46,24854.1
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_4x4x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,4,4,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.157444,2384.51,10231.4
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_4x4x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,4,4,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.157505,2383.59,10227.4
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_4x4x1_0_ttt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,4,4,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.151638,2475.81,10623.1
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x128x128_4x4x1_0_ttt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,128,128,4,4,1,1,1,1,8,4,1,1,64,128,32,100,110,403111936,1610874880,3,0.151843,2472.48,10608.8
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x256x128_0x0x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,403111936,1610874880,3,0.0701478,5351.94,22964
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x256x128_0x0x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,403111936,1610874880,3,0.0703734,5334.79,22890.4
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x256x128_0x0x1_0_ttt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,403111936,1610874880,3,0.0652944,5749.76,24671
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x256x128_0x0x1_0_ttt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,403111936,1610874880,3,0.0653254,5747.03,24659.2
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x1x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,403111936,1610874880,3,0.0696973,5386.54,23112.4
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x1x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,403111936,1610874880,3,0.0698304,5376.27,23068.4
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x1x1_0_ttt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,403111936,1610874880,3,0.0653558,5744.36,24647.8
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x1x1_0_ttt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,256,128,1,1,1,1,1,1,4,4,1,1,64,256,32,100,110,403111936,1610874880,3,0.0653558,5744.36,24647.8
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x2x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,256,128,1,2,1,1,1,1,4,4,1,1,64,256,32,100,110,403111936,1610874880,3,0.0698,5378.61,23078.4
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x2x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,256,128,1,2,1,1,1,1,4,4,1,1,64,256,32,100,110,403111936,1610874880,3,0.0697184,5384.91,23105.4
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x2x1_0_ttt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,256,128,1,2,1,1,1,1,4,4,1,1,64,256,32,100,110,403111936,1610874880,3,0.0645264,5818.2,24964.6
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x256x128_1x2x1_0_ttt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:row,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,256,128,1,2,1,1,1,1,4,4,1,1,64,256,32,100,110,403111936,1610874880,3,0.065008,5775.09,24779.6
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x256x128_2x1x1_0_tnt_align16_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,256,128,2,1,1,1,1,1,4,4,1,1,64,256,32,100,110,403111936,1610874880,3,0.0872387,4303.45,18465.1
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_e4m3_e4m3_f32_bf16_e4m3_64x256x128_2x1x1_0_tnt_align16_stream_k_1sm,passed,success,grouped,,,,,fe4m3:row,fe4m3:column,bf16:row,fe4m3:row,1,0,invalid,invalid,heuristic,1,false,'[4x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][1x4096x6144][8x4096x6144][1x4096x6144][1x4096x6144][1x4096x6144][2x4096x6144][1x4096x6144][3x4096x6144][1x4096x6144][3x4096x6144]',,tensorop,f32,64,256,128,2,1,1,1,1,1,4,4,1,1,64,256,32,100,110,403111936,1610874880,3,0.0870358,4313.48,18508.2
